,fname1,fname2,distance,runtime
231,K00254_genesis.gr,K02823_genesis.gr,5,0.0015587806701660156
232,K00254_genesis.gr,K17828_sankoff.gr,6,0.0029611587524414062
233,K00254_genesis.gr,K00164_fitch.gr,5,0.0026841163635253906
234,K00254_genesis.gr,K02274_fitch.gr,7,0.0020101070404052734
235,K00254_genesis.gr,K00632_genesis.gr,6,0.0014712810516357422
236,K00254_genesis.gr,K03980_genesis.gr,4,0.0014314651489257812
237,K00254_genesis.gr,K00627_sankoff.gr,4,0.0013537406921386719
238,K00254_genesis.gr,K02274_genesis.gr,3,0.0016398429870605469
239,K00254_genesis.gr,K03635_fitch.gr,10,0.002078533172607422
240,K00254_genesis.gr,K07146_fitch.gr,7,0.0022199153900146484
241,K00254_genesis.gr,K03820_sankoff.gr,7,0.0016872882843017578
242,K00254_genesis.gr,K00135_fitch.gr,15,0.0016505718231201172
243,K00254_genesis.gr,K01669_genesis.gr,4,0.001451253890991211
244,K00254_genesis.gr,K03179_genesis.gr,7,0.003040790557861328
245,K00254_genesis.gr,K00162_genesis.gr,7,0.0027055740356445312
246,K00254_genesis.gr,K00161_fitch.gr,7,0.002073526382446289
247,K00254_genesis.gr,K13628_genesis.gr,5,0.0014774799346923828
248,K00254_genesis.gr,K01724_genesis.gr,7,0.0018382072448730469
249,K00254_genesis.gr,K03980_fitch.gr,12,0.0014841556549072266
250,K00254_genesis.gr,K02221_sankoff.gr,6,0.001657247543334961
251,K00254_genesis.gr,K03820_fitch.gr,13,0.0024437904357910156
252,K00254_genesis.gr,K01903_sankoff.gr,7,0.002004861831665039
253,K00254_genesis.gr,K02259_fitch.gr,8,0.001667022705078125
254,K00254_genesis.gr,K00632_sankoff.gr,5,0.0014486312866210938
255,K00254_genesis.gr,K03820_genesis.gr,4,0.0013468265533447266
256,K00254_genesis.gr,K06980_genesis.gr,3,0.0016202926635742188
257,K00254_genesis.gr,K04068_fitch.gr,13,0.0019347667694091797
258,K00254_genesis.gr,K01589_genesis.gr,8,0.002353668212890625
259,K00254_genesis.gr,K01772_fitch.gr,10,0.0017261505126953125
260,K00254_genesis.gr,K00254_sankoff.gr,0,0.001573324203491211
261,K00254_genesis.gr,K00162_fitch.gr,7,0.0014195442199707031
262,K00254_genesis.gr,K02274_sankoff.gr,3,0.001577138900756836
263,K00254_genesis.gr,K03667_sankoff.gr,6,0.0016779899597167969
264,K01419_fitch.gr,K00262_sankoff.gr,7,0.0024068355560302734
265,K01419_fitch.gr,K00254_genesis.gr,6,0.0018413066864013672
266,K01419_fitch.gr,K01419_fitch.gr,0,0.001402139663696289
267,K01419_fitch.gr,K01638_genesis.gr,5,0.0014178752899169922
268,K01419_fitch.gr,K02276_fitch.gr,7,0.0015292167663574219
269,K01419_fitch.gr,K00573_genesis.gr,4,0.0015761852264404297
270,K01419_fitch.gr,K07146_sankoff.gr,7,0.0026721954345703125
271,K01419_fitch.gr,K00262_fitch.gr,13,0.002081155776977539
272,K01419_fitch.gr,K06980_fitch.gr,7,0.0014727115631103516
273,K01419_fitch.gr,K01419_genesis.gr,0,0.001485586166381836
274,K01419_fitch.gr,K03980_sankoff.gr,4,0.001918792724609375
275,K01419_fitch.gr,K01589_fitch.gr,15,0.002546548843383789
276,K01419_fitch.gr,K02275_sankoff.gr,5,0.0022306442260742188
277,K01419_fitch.gr,K06980_sankoff.gr,5,0.0017952919006347656
278,K01419_fitch.gr,K00164_sankoff.gr,5,0.0022978782653808594
279,K01419_fitch.gr,K03636_fitch.gr,8,0.0022618770599365234
280,K01419_fitch.gr,K02257_fitch.gr,8,0.0030341148376464844
281,K01419_fitch.gr,K21636_sankoff.gr,8,0.0021021366119384766
282,K01419_fitch.gr,K01638_sankoff.gr,6,0.0026128292083740234
283,K01419_fitch.gr,K01255_sankoff.gr,8,0.0022284984588623047
284,K01419_fitch.gr,K00228_sankoff.gr,4,0.0016443729400634766
285,K01419_fitch.gr,K02276_sankoff.gr,5,0.0013828277587890625
286,K01419_fitch.gr,K02823_sankoff.gr,6,0.0013623237609863281
287,K01419_fitch.gr,K02276_genesis.gr,5,0.002983570098876953
288,K01419_fitch.gr,K01669_fitch.gr,10,0.0013682842254638672
289,K01419_fitch.gr,K01669_sankoff.gr,9,0.0013358592987060547
290,K01419_fitch.gr,K03074_sankoff.gr,4,0.0017232894897460938
291,K01419_fitch.gr,K07133_sankoff.gr,9,0.0013794898986816406
292,K01419_fitch.gr,K08303_sankoff.gr,8,0.0018780231475830078
